00000658,00000001,000ffffe,18
00000660,00000002,000ffffe,300
00000668,00000007,00080443,446
0000066c,00000001,000ffffe,511
00000674,00000001,000ffffe,547
0000066c,00000001,000ffffe,805
000006dc,00000002,000ffffe,1207
000006b8,0000000a,00080480,1416
000006b0,00000002,000ffffe,1509
000006b0,00000002,000ffffe,1560
00000704,00000001,000ffffe,1585
000006e8,00000011,00080043,1886
0000071c,00000001,000ffffe,2013
000006a8,00000001,000ffffe,2085
000006b8,0000000a,00080480,2402
000006dc,00000002,000ffffe,2788
000007ac,00000007,00080440,3262
00000790,00000011,00080480,3507
00000788,00000002,000ffffe,3610
00000744,00000002,000ffffe,3909
000007bc,00000001,000ffffe,4058
00000770,00000002,000ffffe,4406
00000790,00000011,00080480,4595
000007b0,00000001,000ffffe,4906
00000780,00000001,000ffffe,5070
0000071c,00000001,000ffffe,5392
000006d4,00000001,000ffffe,5825
000006a8,00000001,000ffffe,6042
000006ec,00000001,000ffffe,6151
0000070c,00000002,000ffffe,6207
000006dc,00000002,000ffffe,6235
000006b8,0000000a,00080480,6529
000006fc,00000011,00080406,6951
0000071c,00000001,000ffffe,7143
000007ac,00000007,00080441,7525
000007bc,00000001,000ffffe,7947
00000798,00000001,000ffffe,8401
000007c0,00000001,000ffffe,8900
000007a0,00000002,000ffffe,9151
000006fc,00000011,00080400,9531
000006dc,00000002,000ffffe,9699
00000718,00000007,00080480,9796
000006ec,00000001,000ffffe,10108
00000728,00000001,000ffffe,10507
0000070c,00000002,000ffffe,10708
000006fc,00000011,00080406,11095
00000780,00000001,000ffffe,11505
00000744,00000002,000ffffe,11959
00000780,00000001,000ffffe,12185
0000074c,0000000a,00080443,12308
00000798,00000001,000ffffe,12596
0000077c,00000011,00080054,12761
000007b0,00000001,000ffffe,12820
0000073c,00000001,000ffffe,12858
00000768,00000001,000ffffe,13117
000007bc,00000001,000ffffe,13247
000006b8,0000000a,00080480,13593
000006b0,00000002,000ffffe,13754
000006b0,00000002,000ffffe,13839
00000704,00000001,000ffffe,13881
00000728,00000001,000ffffe,13903
000006fc,00000011,00080402,14202
00000728,00000001,000ffffe,14328
000006b0,00000002,000ffffe,14672
000006bc,00000001,000ffffe,14843
000006e8,00000011,0008005d,15185
0000072c,00000001,000ffffe,15604
00000798,00000001,000ffffe,15822
0000073c,00000001,000ffffe,16203
00000768,00000001,000ffffe,16394
000007bc,00000001,000ffffe,16490
000007ac,00000007,00080444,16816
00000768,00000001,000ffffe,17210
0000073c,00000001,000ffffe,17682
000006dc,00000002,000ffffe,18191
000006e8,00000011,00080062,18700
000006a8,00000001,000ffffe,19171
000006e8,00000011,00080064,19431
0000070c,00000002,000ffffe,19778
00000768,00000001,000ffffe,20198
000007a0,00000002,000ffffe,20410
000007bc,00000001,000ffffe,20515
0000074c,0000000a,00080443,20817
000007b0,00000001,000ffffe,20955
0000074c,0000000a,00080444,21038
00000770,00000002,000ffffe,21339
00000780,00000001,000ffffe,21493
0000073c,00000001,000ffffe,21571
00000770,00000002,000ffffe,21883
00000728,00000001,000ffffe,22038
000006f4,00000002,000ffffe,22389
0000071c,00000001,000ffffe,22835
0000072c,00000001,000ffffe,23059
000006fc,00000011,00080405,23459
0000072c,00000001,000ffffe,23875
00000798,00000001,000ffffe,24331
0000073c,00000001,000ffffe,24831
000007b8,00000001,000ffffe,25321
0000077c,00000011,0008006c,25822
000007a0,00000002,000ffffe,26050
000007b8,00000001,000ffffe,26171
0000072c,00000001,000ffffe,26472
00000724,00000001,000ffffe,26623
000006dc,00000002,000ffffe,26700
000006fc,00000011,00080402,27025
0000071c,00000001,000ffffe,27404
000006ec,00000001,000ffffe,27602
000006d4,00000001,000ffffe,27973
000006bc,00000001,000ffffe,28159
00000798,00000001,000ffffe,28492
00000780,00000001,000ffffe,28659
0000077c,00000011,0008006f,28759
000007b8,00000001,000ffffe,29057
00000750,00000001,000ffffe,29454
000007bc,00000001,000ffffe,29653
000007b0,00000001,000ffffe,29753
000007b8,00000001,000ffffe,30043
00000788,00000002,000ffffe,30429
000006d4,00000001,000ffffe,30621
0000072c,00000001,000ffffe,30718
00000724,00000001,000ffffe,30767
000006dc,00000002,000ffffe,30793
000006b0,00000002,000ffffe,30806
000006f4,00000002,000ffffe,30813
00000718,00000007,00080480,30822
00000724,00000001,000ffffe,31090
00000728,00000001,000ffffe,31499
0000072c,00000001,000ffffe,31704
000006a8,00000001,000ffffe,31807
000006b0,00000002,000ffffe,31860
00000718,00000007,00080480,32131
000006fc,00000011,00080407,32546
00000770,00000002,000ffffe,32734
00000770,00000002,000ffffe,32836
00000780,00000001,000ffffe,33126
0000073c,00000001,000ffffe,33272
00000770,00000002,000ffffe,33618
00000788,00000002,000ffffe,33791
00000798,00000001,000ffffe,33877
00000750,00000001,000ffffe,33921
00000798,00000001,000ffffe,34183
00000770,00000002,000ffffe,34587
00000704,00000001,000ffffe,34788
000006fc,00000011,00080401,35177
000006fc,00000011,00080402,35364
000006b0,00000002,000ffffe,35443
00000724,00000001,000ffffe,35761
000006d4,00000001,000ffffe,35921
0000072c,00000001,000ffffe,36273
000006dc,00000002,000ffffe,36722
00000780,00000001,000ffffe,37185
00000744,00000002,000ffffe,37690
0000073c,00000001,000ffffe,38181
00000798,00000001,000ffffe,38667
000006ec,00000001,000ffffe,39150
0000070c,00000002,000ffffe,39393
00000728,00000001,000ffffe,39753
000006fc,00000011,00080403,39950
00000728,00000001,000ffffe,40025
00000704,00000001,000ffffe,40071
000006b0,00000002,000ffffe,40335
00000724,00000001,000ffffe,40466
00000718,00000007,00080480,40810
00000788,00000002,000ffffe,41246
00000788,00000002,000ffffe,41467
0000073c,00000001,000ffffe,41577
00000770,00000002,000ffffe,41634
00000744,00000002,000ffffe,41902
000007c0,00000001,000ffffe,42307
000007bc,00000001,000ffffe,42782
000007bc,00000001,000ffffe,43020
000006ec,00000001,000ffffe,43379
000006a8,00000001,000ffffe,43559
000006ec,00000001,000ffffe,43889
000006b8,0000000a,00080480,44335
000006a8,00000001,000ffffe,44545
000006f4,00000002,000ffffe,44656
00000724,00000001,000ffffe,44950
000006fc,00000011,00080407,45114
000007ac,00000007,00080440,45450
000007bc,00000001,000ffffe,45889
0000073c,00000001,000ffffe,46112
00000798,00000001,000ffffe,46224
0000073c,00000001,000ffffe,46520
000007b8,00000001,000ffffe,46908
00000768,00000001,000ffffe,47374
000006d4,00000001,000ffffe,48132
00000718,00000007,00080480,48265
000006f4,00000002,000ffffe,48324
000006f4,00000002,000ffffe,48596
000006f4,00000002,000ffffe,49004
000006f4,00000002,000ffffe,49480
000006e8,00000740,00080096,49734
00000770,00000002,000ffffe,49990
00000780,00000001,000ffffe,50484
0000073c,00000001,000ffffe,50732
00000780,00000001,000ffffe,51096
00000768,00000001,000ffffe,51518
000006bc,00000001,000ffffe,51969
000006f4,00000002,000ffffe,52196
000006d4,00000001,000ffffe,52548
0000070c,00000002,000ffffe,52726
00000728,00000001,000ffffe,52814
000006fc,00000011,00080404,52875
00000728,00000001,000ffffe,52882
00000704,00000001,000ffffe,52894
0000072c,00000001,000ffffe,53172
000006b8,0000000a,00080480,53592
00000744,00000002,000ffffe,53790
0000074c,0000000a,00080441,54173
00000750,00000001,000ffffe,54352
000007b8,00000001,000ffffe,54686
000007a0,00000002,000ffffe,55126
00000798,00000001,000ffffe,55345
00000744,00000002,000ffffe,55728
00000724,00000001,000ffffe,56158
000006fc,00000011,00080401,56390
00000728,00000001,000ffffe,56754
000006bc,00000001,000ffffe,57184
0000072c,00000001,000ffffe,57639
000006e8,00000011,000800ac,57883
0000073c,00000001,000ffffe,58221
00000790,00000011,00080480,58654
000007b8,00000001,000ffffe,58847
0000073c,00000001,000ffffe,58952
0000074c,0000000a,00080443,59014
000007ac,00000007,00080443,59038
00000790,00000011,00080480,59062
000007c0,00000001,000ffffe,59325
00000750,00000001,000ffffe,59465
00000770,00000002,000ffffe,59808
0000071c,00000001,000ffffe,60250
00000724,00000001,000ffffe,60472
000006e8,00000011,000800af,60871
0000070c,00000002,000ffffe,61048
000006ec,00000001,000ffffe,61383
000006dc,00000002,000ffffe,61824
00000750,00000001,000ffffe,62283
000007ac,00000007,00080442,62791
00000798,00000001,000ffffe,63276
00000744,00000002,000ffffe,63523
00000780,00000001,000ffffe,63885
0000074c,0000000a,00080446,64076
