00000374,00000001,000ffffd,18
00000808,00000002,000ffffe,300
00000840,00000011,00080041,456
00000854,00000011,00080481,527
00000864,00000002,000ffffe,548
0000087c,00000001,000ffffe,805
00000844,00000001,000ffffe,1206
0000082c,00000001,000ffffe,1407
00000814,00000001,000ffffe,1508
00000814,00000001,000ffffe,1559
00000870,00000007,00080400,1591
0000084c,00000002,000ffffe,1871
00000880,00000001,000ffffe,2013
00000870,00000007,00080400,2091
0000087c,00000001,000ffffe,2393
00000800,00000001,000ffffe,2787
0000085c,00000001,000ffffe,3256
00000844,00000001,000ffffe,3491
00000840,00000011,0008004d,3625
00000884,00000001,000ffffe,3908
00000874,00000001,000ffffe,4058
00000874,00000001,000ffffe,4405
00000800,00000001,000ffffe,4579
0000082c,00000001,000ffffe,4906
00000880,00000001,000ffffe,5070
0000087c,00000001,000ffffe,5392
00000834,00000002,000ffffe,5826
00000808,00000002,000ffffe,6043
0000084c,00000002,000ffffe,6152
00000834,00000002,000ffffe,6207
00000884,00000001,000ffffe,6234
00000874,00000001,000ffffe,6520
00000814,00000001,000ffffe,6935
00000844,00000001,000ffffe,7143
00000870,00000007,00080400,7953
00000800,00000001,000ffffe,8401
00000840,00000011,00080060,8916
00000808,00000002,000ffffe,9151
00000854,00000700,00080484,9310
00000854,00000011,00080484,9531
00000834,00000002,000ffffe,9699
00000870,00000007,00080400,9796
00000844,00000001,000ffffe,10108
0000084c,00000002,000ffffe,10508
0000082c,00000001,000ffffe,10707
00000810,0000000a,00080400,11088
00000814,00000001,000ffffe,11505
0000087c,00000001,000ffffe,11958
00000814,00000001,000ffffe,12185
00000880,00000001,000ffffe,12299
00000884,00000001,000ffffe,12596
00000870,00000007,00080400,12751
00000810,0000000a,00080400,12829
00000840,00000011,0008006f,12874
0000085c,00000001,000ffffe,13117
0000082c,00000001,000ffffe,13247
00000808,00000002,000ffffe,13585
00000800,00000001,000ffffe,13753
00000800,00000001,000ffffe,13838
00000854,00000011,00080485,13897
0000087c,00000001,000ffffe,13903
0000084c,00000002,000ffffe,14187
0000087c,00000001,000ffffe,14328
0000085c,00000001,000ffffe,14671
00000870,00000007,00080400,14849
00000880,00000001,000ffffe,15169
0000084c,00000002,000ffffe,15605
00000834,00000002,000ffffe,15823
00000870,00000007,00080400,16209
00000884,00000001,000ffffe,16394
00000814,00000001,000ffffe,16490
00000800,00000001,000ffffe,16810
00000834,00000002,000ffffe,17683
00000814,00000001,000ffffe,18190
0000087c,00000001,000ffffe,18684
00000854,00000700,00080482,19001
0000084c,00000002,000ffffe,19172
0000087c,00000001,000ffffe,19415
00000810,0000000a,00080400,19786
00000880,00000001,000ffffe,20198
00000834,00000002,000ffffe,20410
00000810,0000000a,00080400,20524
00000840,00000011,0008008c,20824
00000800,00000001,000ffffe,20955
00000854,00000011,00080483,21354
00000864,00000002,000ffffe,21494
0000082c,00000001,000ffffe,21571
00000854,00000011,00080485,21898
00000870,00000007,00080400,22044
00000834,00000002,000ffffe,22389
00000814,00000001,000ffffe,22835
00000840,00000011,00080094,23075
00000884,00000001,000ffffe,23443
00000840,00000011,00080097,23891
00000814,00000001,000ffffe,24331
00000814,00000001,000ffffe,24831
00000800,00000001,000ffffe,25321
00000854,00000011,00080484,25822
0000087c,00000001,000ffffe,26049
00000800,00000001,000ffffe,26171
00000870,00000007,00080400,26478
0000085c,00000001,000ffffe,26623
00000864,00000002,000ffffe,26700
00000880,00000001,000ffffe,27009
00000810,0000000a,00080400,27413
00000874,00000001,000ffffe,27602
0000085c,00000001,000ffffe,27973
00000854,00000011,00080485,28175
00000810,0000000a,00080400,28501
00000884,00000001,000ffffe,28659
0000084c,00000002,000ffffe,28744
00000884,00000001,000ffffe,29057
00000834,00000002,000ffffe,29455
00000800,00000001,000ffffe,29653
00000880,00000001,000ffffe,29753
00000884,00000001,000ffffe,30043
0000085c,00000001,000ffffe,30428
00000884,00000001,000ffffe,30621
00000864,00000002,000ffffe,30719
00000810,0000000a,00080400,30776
0000085c,00000001,000ffffe,30792
00000874,00000001,000ffffe,30812
00000800,00000001,000ffffe,30816
00000840,00000011,000800b0,30821
00000810,0000000a,00080400,31099
00000814,00000001,000ffffe,31499
0000082c,00000001,000ffffe,31704
00000834,00000002,000ffffe,31808
00000840,00000011,000800b4,31875
00000800,00000001,000ffffe,32125
0000087c,00000001,000ffffe,32530
00000874,00000001,000ffffe,32733
00000840,00000011,000800b8,32851
0000084c,00000002,000ffffe,33127
00000808,00000002,000ffffe,33273
00000840,00000011,000800bb,33633
00000854,00000011,00080483,33806
00000864,00000002,000ffffe,33878
0000082c,00000001,000ffffe,33921
00000864,00000002,000ffffe,34184
00000840,00000011,000800be,34602
0000082c,00000001,000ffffe,34788
00000874,00000001,000ffffe,35161
00000874,00000001,000ffffe,35348
00000834,00000002,000ffffe,35443
00000808,00000002,000ffffe,35762
0000084c,00000002,000ffffe,35922
00000814,00000001,000ffffe,36273
00000844,00000001,000ffffe,37185
00000808,00000002,000ffffe,37690
00000800,00000001,000ffffe,38181
00000854,00000700,00080486,38512
0000085c,00000001,000ffffe,38667
0000085c,00000001,000ffffe,39150
0000087c,00000001,000ffffe,39392
00000808,00000002,000ffffe,39754
00000870,00000007,00080401,39940
00000808,00000002,000ffffe,40026
00000874,00000001,000ffffe,40071
0000082c,00000001,000ffffe,40334
00000800,00000001,000ffffe,40466
00000880,00000001,000ffffe,40804
00000844,00000001,000ffffe,41245
00000844,00000001,000ffffe,41466
00000884,00000001,000ffffe,41577
0000082c,00000001,000ffffe,41633
00000800,00000001,000ffffe,41901
00000880,00000001,000ffffe,42307
0000087c,00000001,000ffffe,42782
00000844,00000001,000ffffe,43020
00000854,00000011,00080481,43395
00000810,0000000a,00080401,43568
00000854,00000011,00080483,43905
0000082c,00000001,000ffffe,44326
00000810,0000000a,00080401,44554
0000085c,00000001,000ffffe,44655
00000884,00000001,000ffffe,44950
0000082c,00000001,000ffffe,45098
0000085c,00000001,000ffffe,45444
00000874,00000001,000ffffe,45889
00000880,00000001,000ffffe,46112
0000084c,00000002,000ffffe,46225
00000880,00000001,000ffffe,46520
00000870,00000007,00080401,46914
00000870,00000007,00080401,47380
00000844,00000001,000ffffe,47879
00000834,00000002,000ffffe,48133
00000874,00000001,000ffffe,48259
00000854,00000011,00080484,48339
00000854,00000011,00080485,48611
00000810,0000000a,00080401,49488
00000810,0000000a,00080401,49998
0000082c,00000001,000ffffe,50484
0000087c,00000001,000ffffe,50732
00000854,00000700,00080486,50794
0000082c,00000001,000ffffe,51096
00000864,00000002,000ffffe,51519
00000814,00000001,000ffffe,51969
0000084c,00000002,000ffffe,52196
0000082c,00000001,000ffffe,52548
00000864,00000002,000ffffe,52726
00000880,00000001,000ffffe,52814
00000854,00000011,00080486,52875
00000880,00000001,000ffffe,52882
0000085c,00000001,000ffffe,52894
00000884,00000001,000ffffe,53172
00000870,00000007,00080401,53589
0000087c,00000001,000ffffe,53789
00000880,00000001,000ffffe,54164
00000884,00000001,000ffffe,54352
0000085c,00000001,000ffffe,54686
00000844,00000001,000ffffe,55125
00000884,00000001,000ffffe,55345
00000844,00000001,000ffffe,55727
00000874,00000001,000ffffe,56158
0000084c,00000002,000ffffe,56375
0000087c,00000001,000ffffe,56754
00000810,0000000a,00080401,57193
0000084c,00000002,000ffffe,57640
00000880,00000001,000ffffe,57867
00000870,00000007,00080401,58227
0000082c,00000001,000ffffe,58638
00000854,00000011,00080485,58863
00000870,00000007,00080401,58958
0000087c,00000001,000ffffe,59005
00000844,00000001,000ffffe,59032
0000082c,00000001,000ffffe,59046
00000864,00000002,000ffffe,59326
0000084c,00000002,000ffffe,59466
0000085c,00000001,000ffffe,59807
00000864,00000002,000ffffe,60251
00000870,00000007,00080401,60478
0000082c,00000001,000ffffe,60855
00000854,00000011,00080486,61063
00000834,00000002,000ffffe,61384
00000874,00000001,000ffffe,61823
0000087c,00000001,000ffffe,62283
0000082c,00000001,000ffffe,63276
00000834,00000002,000ffffe,63523
00000864,00000002,000ffffe,63886
00000840,00000011,0008012a,64083
0000087c,00000001,000ffffe,64398
0000085c,00000001,000ffffe,64564
0000085c,00000001,000ffffe,64887
00000810,0000000a,00080401,65058
00000800,00000001,000ffffe,65370
00000808,00000002,000ffffe,65532
0000087c,00000001,000ffffe,65612
0000082c,00000001,000ffffe,65653
0000084c,00000002,000ffffe,65675
0000084c,00000002,000ffffe,65692
00000810,0000000a,00080402,65694
00000864,00000002,000ffffe,65967
00000874,00000001,000ffffe,66104
0000087c,00000001,000ffffe,66445
00000880,00000001,000ffffe,66616
00000884,00000001,000ffffe,66702
0000084c,00000002,000ffffe,67018
00000874,00000001,000ffffe,67175
00000844,00000001,000ffffe,67526
00000864,00000002,000ffffe,68031
00000834,00000002,000ffffe,68467
0000082c,00000001,000ffffe,68924
00000870,00000007,00080402,69431
00000808,00000002,000ffffe,69677
0000084c,00000002,000ffffe,69803
00000834,00000002,000ffffe,70106
0000082c,00000001,000ffffe,70257
00000870,00000007,00080402,70611
00000884,00000001,000ffffe,71051
00000814,00000001,000ffffe,71514
00000844,00000001,000ffffe,71746
00000840,00000011,00080148,72118
00000884,00000001,000ffffe,72520
00000840,00000011,0008014b,72985
0000085c,00000001,000ffffe,73194
0000082c,00000001,000ffffe,73307
0000085c,00000001,000ffffe,73364
00000834,00000002,000ffffe,73394
00000814,00000001,000ffffe,73408
00000864,00000002,000ffffe,73417
00000880,00000001,000ffffe,73692
0000085c,00000001,000ffffe,74102
00000864,00000002,000ffffe,74580
00000870,00000007,00080402,74824
00000874,00000001,000ffffe,74938
00000844,00000001,000ffffe,75238
00000840,00000011,00080155,75644
00000844,00000001,000ffffe,76095
00000814,00000001,000ffffe,76329
00000814,00000001,000ffffe,76686
00000870,00000007,00080402,76871
00000800,00000001,000ffffe,76955
00000864,00000002,000ffffe,77273
00000800,00000001,000ffffe,77431
00000870,00000007,00080402,77517
00000864,00000002,000ffffe,77824
00000884,00000001,000ffffe,78219
0000085c,00000001,000ffffe,78689
00000844,00000001,000ffffe,79196
00000840,00000011,00080163,79466
00000884,00000001,000ffffe,79817
00000840,00000011,00080165,80017
00000880,00000001,000ffffe,80333
00000864,00000002,000ffffe,80772
00000864,00000002,000ffffe,81231
00000814,00000001,000ffffe,81460
00000808,00000002,000ffffe,81816
00000810,0000000a,00080402,82002
0000084c,00000002,000ffffe,82323
00000814,00000001,000ffffe,82487
00000808,00000002,000ffffe,82571
00000854,00000011,00080482,82628
00000880,00000001,000ffffe,82873
0000085c,00000001,000ffffe,83004
0000084c,00000002,000ffffe,83071
00000844,00000001,000ffffe,83375
00000844,00000001,000ffffe,83528
00000884,00000001,000ffffe,83605
0000082c,00000001,000ffffe,83644
00000844,00000001,000ffffe,83664
0000088c,00000001,000ffffe,83946
00000880,00000001,000ffffe,84359
00000808,00000002,000ffffe,84567
00000814,00000001,000ffffe,84670
00000840,00000011,00080177,84978
00000808,00000002,000ffffe,85349
00000844,00000001,000ffffe,85813
00000870,00000007,00080402,86052
0000085c,00000001,000ffffe,86163
00000808,00000002,000ffffe,86223
0000087c,00000001,000ffffe,86252
00000870,00000007,00080402,86545
00000814,00000001,000ffffe,86683
00000844,00000001,000ffffe,87027
00000854,00000011,00080485,87487
00000870,00000007,00080402,87939
00000880,00000001,000ffffe,88436
00000870,00000007,00080402,88694
0000082c,00000001,000ffffe,89054
00000810,0000000a,00080402,89486
0000085c,00000001,000ffffe,89689
0000087c,00000001,000ffffe,90067
00000864,00000002,000ffffe,90497
00000834,00000002,000ffffe,90712
00000864,00000002,000ffffe,90820
00000884,00000001,000ffffe,91113
00000870,00000007,00080402,91506
00000810,0000000a,00080402,91703
0000087c,00000001,000ffffe,92063
00000834,00000002,000ffffe,92249
00000874,00000001,000ffffe,92341
00000854,00000011,00080480,92404
00000884,00000001,000ffffe,92412
00000864,00000002,000ffffe,92697
00000800,00000001,000ffffe,93110
00000814,00000001,000ffffe,93589
00000834,00000002,000ffffe,93830
00000808,00000002,000ffffe,94190
00000874,00000001,000ffffe,94609
0000082c,00000001,000ffffe,95059
0000084c,00000002,000ffffe,95557
00000810,0000000a,00080402,95814
0000084c,00000002,000ffffe,95931
00000814,00000001,000ffffe,95993
00000808,00000002,000ffffe,96026
0000085c,00000001,000ffffe,96313
00000808,00000002,000ffffe,96730
00000834,00000002,000ffffe,97210
00000844,00000001,000ffffe,97721
0000085c,00000001,000ffffe,98217
00000880,00000001,000ffffe,98705
00000840,00000011,000801ab,99205
00000870,00000007,00080403,99677
00000800,00000001,000ffffe,100152
00000874,00000001,000ffffe,100393
00000880,00000001,000ffffe,100514
0000084c,00000002,000ffffe,100576
00000834,00000002,000ffffe,100607
0000082c,00000001,000ffffe,100622
00000870,00000007,00080403,100908
00000884,00000001,000ffffe,101314
00000808,00000002,000ffffe,101793
00000810,0000000a,00080403,102312
00000874,00000001,000ffffe,102559
00000844,00000001,000ffffe,102927
00000840,00000011,000801ba,103367
00000884,00000001,000ffffe,103803
0000082c,00000001,000ffffe,104301
0000085c,00000001,000ffffe,104790
00000800,00000001,000ffffe,105035
0000082c,00000001,000ffffe,105158
00000880,00000001,000ffffe,105220
0000087c,00000001,000ffffe,105491
0000087c,00000001,000ffffe,105627
0000087c,00000001,000ffffe,105967
0000087c,00000001,000ffffe,106409
00000854,00000011,00080481,106886
00000810,0000000a,00080403,107110
00000884,00000001,000ffffe,107217
0000084c,00000002,000ffffe,107516
00000840,00000011,000801cb,107920
0000087c,00000001,000ffffe,108099
0000085c,00000001,000ffffe,108197
0000085c,00000001,000ffffe,108486
00000870,00000007,00080403,108637
00000800,00000001,000ffffe,108704
00000814,00000001,000ffffe,108741
00000834,00000002,000ffffe,108761
