0000037c,00000001,000ffffd,18
00000680,00000001,000ffffe,299
00000688,00000001,000ffffe,440
0000068c,00000001,000ffffe,511
00000690,00000001,000ffffe,547
0000068c,00000001,000ffffe,805
000006bc,00000001,000ffffe,1206
00000738,00000001,000ffffe,1407
00000730,00000001,000ffffe,1508
00000730,00000001,000ffffe,1559
000006f0,00000002,000ffffe,1586
000006c4,00000002,000ffffe,1871
00000708,00000002,000ffffe,2014
0000072c,00000007,00080480,2091
00000738,00000001,000ffffe,2393
000006bc,00000001,000ffffe,2787
00000794,00000001,000ffffe,3256
0000077c,00000001,000ffffe,3491
00000764,00000001,000ffffe,3609
000007c4,00000001,000ffffe,3908
000007ac,00000001,000ffffe,4058
00000750,00000001,000ffffe,4405
0000077c,00000001,000ffffe,4579
0000079c,00000002,000ffffe,4907
00000760,0000000a,00080447,5079
00000708,00000002,000ffffe,5393
00000740,00000001,000ffffe,5825
0000072c,00000007,00080480,6048
000006cc,0000000a,00080480,6160
000006fc,00000011,0008004b,6222
000006bc,00000001,000ffffe,6234
00000738,00000001,000ffffe,6520
000006e8,00000001,000ffffe,6935
00000708,00000002,000ffffe,7144
00000794,00000001,000ffffe,7519
000007ac,00000001,000ffffe,7947
00000784,00000002,000ffffe,8402
000007b4,00000002,000ffffe,8901
00000790,00000011,0008004e,9166
000006e8,00000001,000ffffe,9515
000006bc,00000001,000ffffe,9698
00000700,00000001,000ffffe,9790
000006cc,0000000a,00080480,10117
00000718,00000001,000ffffe,10507
000006fc,00000011,00080054,10723
000006e8,00000001,000ffffe,11079
00000760,0000000a,00080440,11514
000007c4,00000001,000ffffe,11958
00000760,0000000a,00080442,12194
000007cc,00000001,000ffffe,12299
00000784,00000002,000ffffe,12597
00000758,00000002,000ffffe,12746
0000079c,00000002,000ffffe,12821
000007c0,00000007,00080445,12864
000007d4,00000001,000ffffe,13117
000007ac,00000001,000ffffe,13247
000006b4,00000001,000ffffe,13584
00000730,00000001,000ffffe,13753
00000730,00000001,000ffffe,13838
000006f0,00000002,000ffffe,13882
00000718,00000001,000ffffe,13903
000006e8,00000001,000ffffe,14186
00000718,00000001,000ffffe,14328
00000730,00000001,000ffffe,14671
0000073c,00000001,000ffffe,14843
000006c4,00000002,000ffffe,15170
00000720,00000002,000ffffe,15605
00000784,00000002,000ffffe,15823
000007c0,00000007,00080441,16209
000007d4,00000001,000ffffe,16394
000007ac,00000001,000ffffe,16490
00000794,00000001,000ffffe,16810
000007d4,00000001,000ffffe,17210
000007c0,00000007,00080447,17688
000006bc,00000001,000ffffe,18190
000006c4,00000002,000ffffe,18685
0000072c,00000007,00080480,19177
000006c4,00000002,000ffffe,19416
000006fc,00000011,00080066,19793
000007d4,00000001,000ffffe,20198
00000790,00000011,00080060,20425
000007ac,00000001,000ffffe,20515
000007cc,00000001,000ffffe,20808
0000079c,00000002,000ffffe,20956
000007cc,00000001,000ffffe,21029
00000750,00000001,000ffffe,21338
00000760,0000000a,00080445,21502
