0000037c,00000001,000ffffd,18
00000858,00000001,000ffffe,299
000007ec,00000002,000ffffe,441
000007b4,00000002,000ffffe,512
0000085c,00000001,000ffffe,547
000007ac,00000001,000ffffe,805
000007c0,00000001,000ffffe,1407
00000818,00000001,000ffffe,1508
000007c0,00000001,000ffffe,1559
00000820,00000002,000ffffe,1586
0000082c,00000244,00080440,1785
000007ac,00000001,000ffffe,1870
00000820,00000002,000ffffe,2014
000007ec,00000002,000ffffe,2086
000007ac,00000001,000ffffe,2393
00000848,00000007,00080400,2793
00000858,00000001,000ffffe,3256
000007d8,00000001,000ffffe,3491
0000085c,00000001,000ffffe,3609
0000083c,00000002,000ffffe,3909
000007ec,00000002,000ffffe,4406
00000818,00000001,000ffffe,4579
0000082c,00000244,00080474,4637
000007c0,00000001,000ffffe,4906
0000084c,00000001,000ffffe,5070
000007d0,00000001,000ffffe,5392
00000864,00000001,000ffffe,5825
00000858,00000001,000ffffe,6042
00000834,00000001,000ffffe,6151
00000820,00000002,000ffffe,6207
000007ac,00000001,000ffffe,6234
00000820,00000002,000ffffe,6521
000007fc,00000013,00080041,6953
0000084c,00000001,000ffffe,7143
0000082c,00000244,00080473,8098
0000085c,00000001,000ffffe,8401
0000082c,00000244,00080464,8526
0000083c,00000002,000ffffe,8901
00000854,00000001,000ffffe,9150
00000820,00000002,000ffffe,9516
000007c0,00000001,000ffffe,9698
000007ac,00000001,000ffffe,9790
000007d0,00000001,000ffffe,10108
0000083c,00000002,000ffffe,10508
000007d0,00000001,000ffffe,10707
000007d8,00000001,000ffffe,11079
0000083c,00000002,000ffffe,11506
000007ac,00000001,000ffffe,11958
0000085c,00000001,000ffffe,12185
00000800,00000001,000ffffe,12299
000007b4,00000002,000ffffe,12597
00000858,00000001,000ffffe,12745
000007ec,00000002,000ffffe,12821
000007ec,00000002,000ffffe,12859
0000085c,00000001,000ffffe,13117
0000084c,00000001,000ffffe,13247
000007ac,00000001,000ffffe,13584
00000858,00000001,000ffffe,13753
000007fc,00000013,00080041,13856
00000834,00000001,000ffffe,13881
0000084c,00000001,000ffffe,13903
000007c0,00000001,000ffffe,14186
00000834,00000001,000ffffe,14328
000007c0,00000001,000ffffe,14671
000007d0,00000001,000ffffe,14843
00000854,00000001,000ffffe,15169
00000848,00000007,00080401,15610
0000083c,00000002,000ffffe,15823
00000848,00000007,00080401,16209
000007d8,00000001,000ffffe,16394
000007ec,00000002,000ffffe,16491
000007c0,00000001,000ffffe,16810
0000083c,00000002,000ffffe,17211
000008e4,00000001,000ffffe,17682
000007d8,00000001,000ffffe,18190
00000848,00000007,00080400,18690
00000854,00000001,000ffffe,19171
0000083c,00000002,000ffffe,19416
000007d0,00000001,000ffffe,19777
00000854,00000001,000ffffe,20198
0000085c,00000001,000ffffe,20409
00000820,00000002,000ffffe,20516
00000800,00000001,000ffffe,20808
000007c0,00000001,000ffffe,20955
000007b4,00000002,000ffffe,21030
0000084c,00000001,000ffffe,21338
0000085c,00000001,000ffffe,21493
000007b4,00000002,000ffffe,21572
00000858,00000001,000ffffe,21882
000007bc,0000000c,00080400,22049
00000820,00000002,000ffffe,22389
00000820,00000002,000ffffe,22836
0000084c,00000001,000ffffe,23059
000007ac,00000001,000ffffe,23443
000007d0,00000001,000ffffe,23875
0000083c,00000002,000ffffe,24332
00000818,00000001,000ffffe,24831
000007d8,00000001,000ffffe,25321
000007d8,00000001,000ffffe,25806
00000820,00000002,000ffffe,26050
0000085c,00000001,000ffffe,26171
0000084c,00000001,000ffffe,26472
000007d0,00000001,000ffffe,26623
000007d0,00000001,000ffffe,26699
00000820,00000002,000ffffe,27010
0000084c,00000001,000ffffe,27404
