0000037c,00000001,000ffffd,18
00000810,00000002,000ffffe,300
00000848,00000011,00080041,456
0000085c,00000011,00080481,527
0000086c,00000002,000ffffe,548
00000884,00000001,000ffffe,805
0000084c,00000001,000ffffe,1206
00000834,00000001,000ffffe,1407
0000081c,00000001,000ffffe,1508
0000081c,00000001,000ffffe,1559
00000878,00000007,00080400,1591
00000854,00000002,000ffffe,1871
00000888,00000001,000ffffe,2013
00000878,00000007,00080400,2091
00000884,00000001,000ffffe,2393
00000808,00000001,000ffffe,2787
00000864,00000001,000ffffe,3256
0000084c,00000001,000ffffe,3491
00000848,00000011,0008004d,3625
0000088c,00000001,000ffffe,3908
0000087c,00000001,000ffffe,4058
0000087c,00000001,000ffffe,4405
00000808,00000001,000ffffe,4579
00000834,00000001,000ffffe,4906
00000888,00000001,000ffffe,5070
00000884,00000001,000ffffe,5392
0000083c,00000002,000ffffe,5826
00000810,00000002,000ffffe,6043
00000854,00000002,000ffffe,6152
0000083c,00000002,000ffffe,6207
0000088c,00000001,000ffffe,6234
0000087c,00000001,000ffffe,6520
0000081c,00000001,000ffffe,6935
0000084c,00000001,000ffffe,7143
00000878,00000007,00080400,7953
00000808,00000001,000ffffe,8401
00000848,00000011,00080060,8916
00000810,00000002,000ffffe,9151
0000085c,00000700,00080484,9310
0000085c,00000011,00080484,9531
0000083c,00000002,000ffffe,9699
00000878,00000007,00080400,9796
0000084c,00000001,000ffffe,10108
00000854,00000002,000ffffe,10508
00000834,00000001,000ffffe,10707
00000818,0000000a,00080400,11088
0000081c,00000001,000ffffe,11505
00000884,00000001,000ffffe,11958
0000081c,00000001,000ffffe,12185
00000888,00000001,000ffffe,12299
0000088c,00000001,000ffffe,12596
00000878,00000007,00080400,12751
00000818,0000000a,00080400,12829
00000848,00000011,0008006f,12874
00000864,00000001,000ffffe,13117
00000834,00000001,000ffffe,13247
00000810,00000002,000ffffe,13585
00000808,00000001,000ffffe,13753
00000808,00000001,000ffffe,13838
0000085c,00000011,00080485,13897
00000884,00000001,000ffffe,13903
00000854,00000002,000ffffe,14187
00000884,00000001,000ffffe,14328
00000864,00000001,000ffffe,14671
00000878,00000007,00080400,14849
00000888,00000001,000ffffe,15169
00000854,00000002,000ffffe,15605
0000083c,00000002,000ffffe,15823
00000878,00000007,00080400,16209
0000088c,00000001,000ffffe,16394
0000081c,00000001,000ffffe,16490
00000808,00000001,000ffffe,16810
0000083c,00000002,000ffffe,17683
0000081c,00000001,000ffffe,18190
00000884,00000001,000ffffe,18684
0000085c,00000700,00080482,19001
00000854,00000002,000ffffe,19172
00000884,00000001,000ffffe,19415
00000818,0000000a,00080400,19786
00000888,00000001,000ffffe,20198
0000083c,00000002,000ffffe,20410
00000818,0000000a,00080400,20524
00000848,00000011,0008008c,20824
00000808,00000001,000ffffe,20955
0000085c,00000011,00080483,21354
0000086c,00000002,000ffffe,21494
